IDNUMBER,INSTRUCTIONAL_LEVEL,ENROLLMENT_LEVEL,APPROX_ENROLLMENT,APPROX_TOTAL_COMPUTERS,COMPUTERS_PER_STUDENT
10099,Elementary,500-999,750,350,0.4666666666666667
10100,Middle,500-999,750,1200,1.6
10101,Middle,1000+,1200,1200,1
10102,High/Other,1000+,1200,1200,1
10103,High/Other,1000+,1200,1200,1
10104,Elementary,<300,150,100,0.6666666666666666
10105,Elementary,<300,150,350,2.3333333333333335
10106,High/Other,500-999,750,350,0.4666666666666667
10107,High/Other,300-499,400,350,0.875
10108,High/Other,<300,150,100,0.6666666666666666
10109,Elementary,1000+,1200,1200,1
10110,Elementary,300-499,400,350,0.875
10111,High/Other,1000+,1200,750,0.625
10112,High/Other,<300,150,100,0.6666666666666666
10113,Middle,500-999,750,750,1
10114,High/Other,1000+,1200,750,0.625
10115,Middle,500-999,750,750,1
10116,High/Other,<300,150,100,0.6666666666666666
10117,Middle,500-999,750,750,1
10118,High/Other,1000+,1200,1200,1
10119,Middle,300-499,400,350,0.875
10120,High/Other,500-999,750,750,1
10121,High/Other,500-999,750,750,1
10122,Middle,500-999,750,100,0.13333333333333333
10123,High/Other,<300,150,100,0.6666666666666666
10124,High/Other,1000+,1200,1200,1
10125,Elementary,300-499,400,350,0.875
10126,Middle,500-999,750,750,1
10127,High/Other,<300,150,350,2.3333333333333335
10128,Middle,<300,150,100,0.6666666666666666
10129,High/Other,<300,150,100,0.6666666666666666
10130,Elementary,<300,150,350,2.3333333333333335
10131,Elementary,500-999,750,750,1
10132,High/Other,1000+,1200,1200,1
10133,Elementary,500-999,750,750,1
10134,Middle,1000+,1200,1200,1
10135,High/Other,500-999,750,750,1
10136,Middle,1000+,1200,1200,1
10137,High/Other,300-499,400,350,0.875
10138,High/Other,500-999,750,750,1
10139,Elementary,300-499,400,350,0.875
10140,Elementary,300-499,400,750,1.875
10141,Elementary,300-499,400,350,0.875
10142,Elementary,300-499,400,350,0.875
10143,High/Other,1000+,1200,1200,1
10144,High/Other,<300,150,100,0.6666666666666666
10145,High/Other,500-999,750,350,0.4666666666666667
10146,Elementary,<300,150,350,2.3333333333333335
10147,Elementary,300-499,400,350,0.875
10148,Elementary,500-999,750,350,0.4666666666666667
10149,High/Other,1000+,1200,1200,1
10150,Elementary,300-499,400,350,0.875
10151,High/Other,500-999,750,750,1
10152,Middle,500-999,750,750,1
10153,Middle,500-999,750,750,1
10154,High/Other,1000+,1200,750,0.625
10155,Middle,300-499,400,750,1.875
10156,Middle,500-999,750,750,1
10157,Elementary,<300,150,350,2.3333333333333335
10158,Elementary,500-999,750,350,0.4666666666666667
10159,Elementary,300-499,400,100,0.25
10160,Middle,500-999,750,750,1
10161,Elementary,300-499,400,350,0.875
10162,High/Other,500-999,750,750,1
10163,Elementary,300-499,400,100,0.25
10164,Elementary,<300,150,350,2.3333333333333335
10165,Middle,300-499,400,750,1.875
10166,High/Other,1000+,1200,750,0.625
10167,Middle,500-999,750,350,0.4666666666666667
10168,Middle,500-999,750,750,1
10169,Elementary,300-499,400,100,0.25
10170,Elementary,500-999,750,350,0.4666666666666667
10171,Middle,500-999,750,750,1
10172,High/Other,<300,150,100,0.6666666666666666
10173,Elementary,300-499,400,750,1.875
10174,High/Other,1000+,1200,1200,1
